pl_orbsmax,pl_orbper,pl_orbincl,pl_orbeccen,pl_masse,pl_msinie,st_mass,sy_dist,Re,pl_orblper,pl_name,SpT Number,pl_mass_or_msini_e,contrast_at_highest_contrast,separation_at_highest_contrast,phase_at_highest_contrast,separation_at_largest_separation,contrast_at_largest_separation,phase_at_largest_separation,separation_at_average_separation,contrast_at_average_separation,phase_at_average_separation
0.2175,38.021,,0.14,,18.2,0.94,8.50332,4.423510653922557,341.0,61 Vir c,4.5,18.2,5.049902353519778e-07,2.088320762312035,30.079627162210077,4.616050608053588,4.071698679453471e-08,86.79317495144399,4.118879347840844,8.471319754749526e-08,63.0955171614632
0.476,123.01,,0.35,,22.9,0.94,8.50332,5.217345042869511,314.0,61 Vir d,4.5,22.9,1.1566484270561896e-07,5.139171385307748,30.426788358985714,10.922899964254356,1.3461184100406326e-08,74.69379600888462,9.473470321691295,2.6374518182658438e-08,52.188069734194066
1.9,763.0,,0.14,,826.3,1.52,19.8101,11.866179205941634,12.0,7 CMa b,5.1,826.3,5.524071691659043e-08,7.272319500772891,30.01377806169697,17.38493110948315,3.305922858920285e-09,91.98064715179818,15.44455022474158,7.314174137820306e-09,67.45117420415419
2.153,996.0,90.0,0.08,,276.5121,1.34,19.8101,11.110704273343863,233.5,7 CMa c,5.026807394017833,276.5121,0.00021723632922367433,0.11570131251752049,0.3600943322051548,18.118843706123005,3.163630935250915e-09,85.6519806187891,17.386727651696013,5.001714733938212e-09,69.43699112962852
0.7,181.4,,0.027,,1017.0,1.4,44.0304,11.93180904994955,177.3,91 Aqr b,5.0,1017.0,3.737311859986198e-07,1.2649343564057662,30.005064839459212,2.6033708351118316,3.114954128108446e-08,90.84590270824442,2.5361599873995955,4.793269215573634e-08,75.95443908684653
0.777,268.94,,0.29,,467.19,0.86,49.352,11.564795153066513,87.64,BD+14 4559 b,5.2,467.19,5.596698642822565e-07,0.8935510916173788,30.084065784561478,2.470344934120761,1.3562187957477771e-08,110.48444807120865,2.6162412288225463,1.504151506860314e-08,107.7629828428073
0.83,307.88,2.579,0.12,,432.24663,0.81,53.622,11.509324237876848,70.31,BD+45 564 b,5.1,432.24663,3.0758507936551203e-08,2.170871210693915,87.50928842612014,2.7620054313152904,1.661543369326323e-08,92.40551317073448,2.48612961529932,2.210736050927657e-08,89.60935951992053
0.78,265.59,0.601,0.27,,228.83645,0.91,52.5697,10.894603400416775,-134.44,BD+55 362 b,5.3,228.83645,4.186945068395304e-08,1.7272004818895048,90.42910014526946,3.0046600707631597,1.4161696347042288e-08,89.5789329926819,2.452338553468401,2.1121382753987285e-08,89.44077992409463
2.06,1198.48,5.974,0.88,,1258.60049,0.82,38.0473,11.972309938029298,94.25,BD+63 1405 b,5.0,1258.60049,3.20609086798028e-07,1.0304944707861337,84.04248669595998,16.14360091972282,9.417612311043262e-10,95.9590733182932,11.97720336217554,1.7028694053166671e-09,95.54930894172402
1.48,723.2,13.31,0.39,,7961.6016,0.81,42.6402,10.421539608474296,-97.55,BD-00 4475 b,4.0,7961.6016,1.0911189827620585e-08,3.304436618614718,102.75048077665602,7.490891739589753,4.334960490342077e-09,76.83573662577952,5.955906894337001,6.2847477268554405e-09,81.31214589771905
0.435,125.94,,0.31,,53.0,0.7,20.2695,7.934702490607182,41.0,BD-06 1339 c,5.7,53.0,7.595470488619596e-07,1.2817059128836268,30.013918883796993,4.179092881612136,1.7353203763178722e-08,102.99971923379644,3.5867506797743096,5.160700501147048e-08,74.74063001155245
0.68,237.6,,0.19,,104.0,0.74,41.3342,9.607856334402191,-233.0,BD-08 2823 c,5.3,104.0,3.6475725674254364e-07,1.0982885147506365,30.000907303281387,2.9034451392291634,1.3659550221497274e-08,100.75982876737287,2.6708005086709052,3.1006116896587416e-08,77.13380078215303
2.36,1634.0,,0.05,,206.5895,0.65,27.1665,10.764390130396674,343.88,BD-11 4672 b,5.229557690537078,206.5895,2.600148186557654e-08,7.009921730928144,30.081665064133002,14.517691791909307,2.2591367706395314e-09,88.89248000283293,13.870554026215228,3.7194667823246798e-09,71.86661875410356
0.3,74.2,,0.4,,15.37,0.65,27.1665,3.8677926228352,245.92,BD-11 4672 c,5.229557690537078,15.37,1.2440779863600956e-07,1.1496376533949413,30.46938775277344,1.9745933416128043,2.627558926238556e-08,66.1684128343857,1.9018851454722843,3.448269284991384e-08,54.51126434665235
