pl_orbsmax,pl_orbper,pl_orbincl,pl_orbeccen,pl_masse,pl_msinie,st_mass,sy_dist,Re,pl_orblper,pl_name,SpT Number,pl_mass_or_msini_e,contrast_at_highest_contrast,separation_at_highest_contrast,phase_at_highest_contrast,separation_at_largest_separation,contrast_at_largest_separation,phase_at_largest_separation,separation_at_average_separation,contrast_at_average_separation,phase_at_average_separation
0.2175,38.021,,0.14,,18.2,0.94,8.50332,4.423510653922557,341.0,61 Vir c,4.5,18.2,0.0003237246280139836,0.08250104579159392,30.01912991926364,4.613634892029755,4.075963708253912e-08,86.79317495144399,4.118879347840844,8.377321654472334e-08,65.41420500139105
0.476,123.01,,0.35,,22.9,0.94,8.50332,5.217345042869511,314.0,61 Vir d,4.5,22.9,0.0019246845178598603,0.03991012048972278,30.00072291855857,10.807014567375074,1.3216982220993579e-08,76.52308732948899,9.473470321691295,2.42175948907925e-08,58.13763489521553
1.9,763.0,,0.14,,826.3,1.52,19.8101,11.866179205941634,12.0,7 CMa b,5.1,826.3,4.976979533501932e-05,0.24228117798057552,30.01377806169697,17.381465496505708,3.3072412968103017e-09,91.98064715179818,15.44455022474158,6.983391736276651e-09,69.94287885435165
2.153,996.0,90.0,0.08,,276.5121,1.34,19.8101,11.110704273343863,233.5,7 CMa c,5.026807394017833,276.5121,0.00021723632922367433,0.11570131251752049,0.3600943322051548,18.118843706123005,3.163630935250915e-09,85.6519806187891,17.386727651696013,5.001714733938212e-09,69.43699112962852
0.7,181.4,,0.027,,1017.0,1.4,44.0304,11.93180904994955,177.3,91 Aqr b,5.0,1017.0,0.0009155830452269176,0.025556347634996174,30.005064839459212,2.6032762437773216,3.115180499029861e-08,90.84590270824442,2.5361599873995955,4.4358782518329593e-08,78.9215950353216
0.777,268.94,,0.29,,467.19,0.86,49.352,11.564795153066513,87.64,BD+14 4559 b,5.2,467.19,8.293587487336621e-05,0.07340305508546663,30.084065784561478,2.432856044357603,1.7164107261901127e-08,104.9299094712863,2.6162412288225463,1.9045176785522205e-08,101.97943465518678
0.83,307.88,2.579,0.12,,432.24663,0.81,53.622,11.509324237876848,70.31,BD+45 564 b,5.1,432.24663,8.045259524366327e-05,0.04249601610680345,87.4214884377232,2.5515362690320407,2.0694136456339216e-08,90.22808311453056,2.48612961529932,2.1867876113790804e-08,89.76666343310679
0.78,265.59,0.601,0.27,,228.83645,0.91,52.5697,10.894603400416775,-134.44,BD+55 362 b,5.3,228.83645,0.0009279829174057639,0.01157415977109416,90.60098807363921,2.7687313643365017,1.6536308907448163e-08,89.89151851004755,2.452338553468401,2.1690708836087477e-08,89.64883777240298
2.06,1198.48,5.974,0.88,,1258.60049,0.82,38.0473,11.972309938029298,94.25,BD+63 1405 b,5.0,1258.60049,0.0016052809379041746,0.012362244056099118,95.97399819181494,4.701017910835992,1.1337714096408918e-08,95.27210391365335,11.97720336217554,1.1361760952809574e-08,95.20477885543376
1.48,723.2,13.31,0.39,,7961.6016,0.81,42.6402,10.421539608474296,-97.55,BD-00 4475 b,4.0,7961.6016,0.0001751230064931518,0.0373295430367232,76.69016146156046,5.388138256633492,6.934337275843954e-09,84.8425306495754,5.955906894337001,6.934337275843954e-09,84.8425306495754
